TagName,TagValue,TagQuality
ER_IR_EX.STN.MW.FKK-LLM,#N/A,0
ER_IR_EX.STN.MW.WAR-BDN,#N/A,0
ER_IR_EX.STN.MW.JDA-JSR,#N/A,0
ER_IR_EX.STN.MW.JDA-RCP,#N/A,0
ER_IR_EX.STN.MW.DHI-PUS,#N/A,0
ER_IR_EX.STN.MW.BDG-PTR1,#N/A,0
ER_IR_EX.STN.MW.BDG-PTR2,#N/A,0
ER_IR_EX.STN.MW.BDG-PTR3,#N/A,0
ER_IR_EX.STN.MW.PRD-PRP1,#N/A,0
ER_IR_EX.STN.MW.PRD-PRP2,#N/A,0
ER_IR_EX.STN.MW.MTN-KLW1,#N/A,0
ER_IR_EX.STN.MW.MTN-KLW2,#N/A,0
ER_IR_EX.STN.MW.PRP-BDN1,#N/A,0
ER_IR_EX.STN.MW.PRP-BDN2,#N/A,0
ER_IR_EX.STN.MW.CHN-SND,#N/A,0
ER_IR_EX.STN.MW.JPE-JNG1,#N/A,0
ER_IR_EX.STN.MW.JPE-JNG2,#N/A,0
ER_IR_EX.STN.MW.TSP-MRM1,#N/A,0
ER_IR_EX.STN.MW.TSP-MRM2,#N/A,0
ER_IR_EX.STN.MW.ARH-KHL1,#N/A,0
ER_IR_EX.STN.MW.ARH-KHL2,#N/A,0
ER_IR_EX.STN.MW.BSG-TNG,#N/A,0
ER_IR_EX.STN.MW.NJP-BRD1,#N/A,0
ER_IR_EX.STN.MW.NJP-BRD2,#N/A,0
ER_IR_EX.STN.MW.RGP-RGL1,#N/A,0
ER_IR_EX.STN.MW.RGP-RGL2,#N/A,0
ER_IR_EX.STN.MW.TSP-TAL1,#N/A,0
ER_IR_EX.STN.MW.TSP-TAL2,#N/A,0
ER_IR_EX.STN.MW.TSP-RGL,#N/A,0
ER_IR_EX.STN.MW.RKL-TRK1,#N/A,0
ER_IR_EX.STN.MW.RKL-TRK2,#N/A,0
ER_IR_EX.STN.MW.SAL-BRP1,#N/A,0
ER_IR_EX.STN.MW.SAL-BRP2,#N/A,0
ER_IR_EX.STN.MW.RCP-JSR1,#N/A,0
ER_IR_EX.STN.MW.RCP-JSR2,#N/A,0
ER_IR_EX.STN.MW.BSS-BSG1,#N/A,0
ER_IR_EX.STN.MW.BSS-BSG2,#N/A,0
ER_IR_EX.STN.MW.BSS-BSG3,#N/A,0
ER_IR_EX.STN.MW.LLM-FKK,#N/A,0
ER_IR_EX.STN.MW.BDN-WAR,#N/A,0
ER_IR_EX.STN.MW.JSR-JDA,#N/A,0
ER_IR_EX.STN.MW.RCP-JDA,#N/A,0
ER_IR_EX.STN.MW.PUS-DHI,#N/A,0
ER_IR_EX.STN.MW.PTR-BDG1,#N/A,0
ER_IR_EX.STN.MW.PTR-BDG2,#N/A,0
ER_IR_EX.STN.MW.PTR-BDG3,#N/A,0
ER_IR_EX.STN.MW.PRP-PRD1,#N/A,0
ER_IR_EX.STN.MW.PRP-PRD2,#N/A,0
ER_IR_EX.STN.MW.KLW-MTN1,#N/A,0
ER_IR_EX.STN.MW.KLW-MTN2,#N/A,0
ER_IR_EX.STN.MW.BND-PRP1,#N/A,0
ER_IR_EX.STN.MW.BND-PRP2,#N/A,0
ER_IR_EX.STN.MW.SND-CHN,#N/A,0
ER_IR_EX.STN.MW.JNG-JPE1,#N/A,0
ER_IR_EX.STN.MW.JNG-JPE2,#N/A,0
ER_IR_EX.STN.MW.MRM-GMR1,#N/A,0
ER_IR_EX.STN.MW.MRM-TSP2,#N/A,0
ER_IR_EX.STN.MW.KHL-ARH1,#N/A,0
ER_IR_EX.STN.MW.KHL-ARH2,#N/A,0
ER_IR_EX.STN.MW.TNG-BSG,#N/A,0
ER_LINES.LINE.FKK-JRT1.MW,#N/A,0
ER_LINES.LINE.FKK-JRT2.MW,#N/A,0
ER_LINES.LINE.FKK-PRP1.MW,#N/A,0
ER_LINES.LINE.FKK-PRP2.MW,#N/A,0
ER_LINES.LINE.FKK-KHG1.MW,#N/A,0
ER_LINES.LINE.FKK-KHG2.MW,#N/A,0
ER_LINES.LINE.FKK-MLD1.MW,#N/A,0
ER_LINES.LINE.FKK-MLD2.MW,#N/A,0
ER_LINES.LINE.KHG-BSF1.MW,#N/A,0
ER_LINES.LINE.KHG-BSF2.MW,#N/A,0
ER_LINES.LINE.KHG-BSF3.MW,#N/A,0
ER_LINES.LINE.KHG-BSF4.MW,#N/A,0
ER_LINES.LINE.KHG-MTN1.MW,#N/A,0
ER_LINES.LINE.KHG-MTN2.MW,#N/A,0
ER_LINES.LINE.MTN-MEJB2.MW,#N/A,0
ER_LINES.LINE.MTN-MEJB3.MW,#N/A,0
ER_LINES.LINE.JSR-PRP.MW,#N/A,0
ER_LINES.LINE.JSR-RKL1.MW,#N/A,0
ER_LINES.LINE.JSR-RKL2.MW,#N/A,0
ER_LINES.LINE.TAL-RKL1.MW,#N/A,0
ER_LINES.LINE.TAL-RKL2.MW,#N/A,0
ER_LINES.LINE.TSP-RGP1.MW,#N/A,0
ER_LINES.LINE.TSP-RGP2.MW,#N/A,0
ER_LINES.LINE.JPE-GZW1.MW,#N/A,0
ER_LINES.LINE.JPE-GZW2.MW,#N/A,0
ER_LINES.LINE.JPE-MRM.MW,#N/A,0
ER_LINES.LINE.TSP-MRM1.MW,#N/A,0
ER_LINES.LINE.TSP-MRM2.MW,#N/A,0
ER_LINES.LINE.MLD-PUR1.MW,#N/A,0
ER_LINES.LINE.MLD-BNG.MW,#N/A,0
ER_LINES.LINE.PUR-BNG.MW,#N/A,0
ER_LINES.LINE.BNG-BGG1.MW,#N/A,0
ER_LINES.LINE.BNG-BGG2.MW,#N/A,0
ER_LINES.LINE.RGP-IVT.MW,#N/A,0
ER_LINES.LINE.BSG-SAS1.MW,#N/A,0
ER_LINES.LINE.BSG-SAS2.MW,#N/A,0
ER_LINES.LINE.SAS-SAR.MW,#N/A,0
ER_LINES.LINE.SAS-ALD.MW,#N/A,0
ER_LINES.LINE.RPR-RKL1.MW,#N/A,0
ER_LINES.LINE.RPR-RKL2.MW,#N/A,0
ER_LINES.LINE.IVT-JPE.MW,83.49379,1
ER_LINES.LINE.IVT-IVP.MW,#N/A,0
ER_LINES.LINE.KLG-BRD.MW,#N/A,0
ER_LINES.LINE.BRD-RGL.MW,#N/A,0
ER_LINES.LINE.JRT-KLG.MW,#N/A,0
ER_LINES.LINE.BKW-ARB.MW,#N/A,0
ER_LINES.LINE.KLG-ARB.MW,#N/A,0
ER_LINES.LINE.BKW-JRT.MW,-163.785675,1
ER_LINES.LINE.JRT-FKK1.MW,#N/A,0
ER_LINES.LINE.JRT-FKK2.MW,#N/A,0
ER_LINES.LINE.PRP-FKK1.MW,#N/A,0
ER_LINES.LINE.PRP-FKK2.MW,#N/A,0
ER_LINES.LINE.KHG-FKK1.MW,#N/A,0
ER_LINES.LINE.KHG-FKK2.MW,#N/A,0
ER_LINES.LINE.MLD-FKK1.MW,#N/A,0
ER_LINES.LINE.MLD-FKK2.MW,#N/A,0
ER_LINES.LINE.BSF-KHG1.MW,#N/A,0
ER_LINES.LINE.BSF-KHG2.MW,#N/A,0
ER_LINES.LINE.BSF-KHG3.MW,#N/A,0
ER_LINES.LINE.BSF-KHG4.MW,#N/A,0
ER_LINES.LINE.MTN-KHG1.MW,#N/A,0
ER_LINES.LINE.MTN-KHG2.MW,#N/A,0
ER_LINES.LINE.MJB-MTH 2.MW,#N/A,0
ER_LINES.LINE.MJB-MTH 3.MW,#N/A,0
ER_LINES.LINE.PRP-JSR.MW,#N/A,0
ER_LINES.LINE.RKL-JSR1.MW,#N/A,0
ER_LINES.LINE.RKL-JSR2.MW,#N/A,0
ER_LINES.LINE.RKL-TAL1.MW,#N/A,0
ER_LINES.LINE.RKL-TAL2.MW,#N/A,0
ER_LINES.LINE.RGP-TSP1.MW,#N/A,0
ER_LINES.LINE.RGP-TSP2.MW,#N/A,0
